Date Time,Open,High,Low,Close,Volume
2022-07-07 00:00:00,30845,30853,30843,30852,31
2022-07-07 00:00:05,30852,30852,30850,30851,5
2022-07-07 00:00:10,30849,30849,30844,30845,5
2022-07-07 00:00:15,30843,30852,30843,30846,16
2022-07-07 00:00:20,30847,30847,30844,30845,7
2022-07-07 00:00:25,30845,30845,30842,30842,4
2022-07-07 00:00:30,30844,30845,30843,30845,4
2022-07-07 00:00:35,30843,30843,30842,30843,7
2022-07-07 00:00:40,30841,30841,30834,30834,9
2022-07-07 00:00:45,30833,30834,30829,30829,25
2022-07-07 00:00:50,30830,30831,30829,30831,4
2022-07-07 00:00:55,30830,30831,30829,30829,30
2022-07-07 00:01:00,30828,30835,30828,30835,14
2022-07-07 00:01:05,30832,30832,30825,30825,17
2022-07-07 00:01:10,30826,30829,30825,30825,14
2022-07-07 00:01:15,30826,30826,30826,30826,2
2022-07-07 00:01:20,30829,30832,30829,30830,11
2022-07-07 00:01:25,30830,30835,30830,30834,9
2022-07-07 00:01:30,30835,30836,30834,30834,6
2022-07-07 00:01:35,30835,30835,30833,30833,3
2022-07-07 00:01:40,30834,30837,30834,30835,8
2022-07-07 00:01:45,30834,30836,30834,30835,8
2022-07-07 00:01:50,30832,30834,30831,30832,13
2022-07-07 00:01:55,30836,30837,30832,30832,11
2022-07-07 00:02:00,30831,30831,30818,30819,49
2022-07-07 00:02:05,30821,30822,30820,30822,8
2022-07-07 00:02:10,30822,30822,30820,30820,4
2022-07-07 00:02:15,30823,30832,30823,30829,18
2022-07-07 00:02:20,30830,30830,30826,30826,7
2022-07-07 00:02:25,30823,30824,30823,30824,4
2022-07-07 00:02:30,30823,30825,30823,30825,7
2022-07-07 00:02:35,30825,30826,30825,30826,3
2022-07-07 00:02:40,30828,30830,30827,30830,10
2022-07-07 00:02:45,30830,30830,30825,30825,9
2022-07-07 00:02:50,30825,30825,30816,30816,4
2022-07-07 00:02:55,30817,30820,30817,30819,6
2022-07-07 00:03:00,30818,30820,30818,30818,5
2022-07-07 00:03:05,30818,30818,30813,30813,10
2022-07-07 00:03:10,30813,30813,30807,30811,25
2022-07-07 00:03:15,30812,30813,30810,30812,8
2022-07-07 00:03:20,30815,30815,30812,30812,23
2022-07-07 00:03:25,30813,30814,30812,30814,3
2022-07-07 00:03:30,30816,30816,30814,30814,2
2022-07-07 00:03:35,30817,30818,30817,30818,6
2022-07-07 00:03:40,30818,30819,30815,30819,11
2022-07-07 00:03:45,30820,30820,30816,30816,9
2022-07-07 00:03:50,30815,30816,30815,30816,3
2022-07-07 00:03:55,30816,30816,30816,30816,4
2022-07-07 00:04:00,30817,30818,30816,30816,6
2022-07-07 00:04:05,30816,30816,30813,30813,9
2022-07-07 00:04:10,30812,30812,30803,30803,19
2022-07-07 00:04:15,30803,30807,30802,30806,10
2022-07-07 00:04:20,30805,30806,30802,30802,16
2022-07-07 00:04:25,30802,30802,30796,30798,39
2022-07-07 00:04:30,30797,30799,30792,30793,33
2022-07-07 00:04:35,30794,30795,30792,30794,15
2022-07-07 00:04:40,30795,30796,30793,30793,9
2022-07-07 00:04:45,30793,30794,30786,30788,36
2022-07-07 00:04:50,30788,30794,30787,30792,17
2022-07-07 00:04:55,30792,30793,30791,30793,9
2022-07-07 00:05:00,30796,30800,30796,30799,19
2022-07-07 00:05:05,30797,30803,30797,30802,17
2022-07-07 00:05:10,30804,30807,30802,30803,24
2022-07-07 00:05:15,30804,30806,30800,30800,25
2022-07-07 00:05:20,30800,30800,30796,30799,9
2022-07-07 00:05:25,30798,30804,30798,30804,14
2022-07-07 00:05:30,30801,30802,30801,30802,5
2022-07-07 00:05:35,30801,30801,30790,30791,57
2022-07-07 00:05:40,30789,30790,30784,30784,24
2022-07-07 00:05:45,30786,30786,30783,30786,23
2022-07-07 00:05:50,30783,30786,30780,30785,38
2022-07-07 00:05:55,30784,30784,30782,30783,10
2022-07-07 00:06:00,30784,30789,30784,30786,17
2022-07-07 00:06:05,30788,30790,30788,30789,10
2022-07-07 00:06:10,30792,30795,30792,30794,13
2022-07-07 00:06:15,30792,30793,30791,30793,7
2022-07-07 00:06:20,30792,30792,30786,30788,11
2022-07-07 00:06:25,30787,30789,30785,30785,11
2022-07-07 00:06:30,30787,30790,30785,30790,7
2022-07-07 00:06:35,30796,30798,30796,30796,16
2022-07-07 00:06:40,30796,30800,30796,30800,7
2022-07-07 00:06:45,30803,30803,30802,30803,4
2022-07-07 00:06:50,30803,30811,30803,30808,73
2022-07-07 00:06:55,30808,30808,30804,30806,6
2022-07-07 00:07:00,30806,30808,30806,30807,5
2022-07-07 00:07:05,30808,30821,30806,30819,48
2022-07-07 00:07:10,30818,30820,30818,30819,16
2022-07-07 00:07:15,30820,30823,30819,30820,21
2022-07-07 00:07:20,30818,30820,30818,30820,7
2022-07-07 00:07:25,30822,30828,30821,30828,21
2022-07-07 00:07:30,30828,30828,30822,30826,9
2022-07-07 00:07:35,30826,30826,30825,30825,4
2022-07-07 00:07:40,30821,30822,30815,30815,9
2022-07-07 00:07:45,30814,30816,30814,30815,7
2022-07-07 00:07:50,30816,30818,30814,30815,14
2022-07-07 00:07:55,30817,30819,30815,30815,11
2022-07-07 00:08:00,30814,30814,30806,30806,17
2022-07-07 00:08:05,30807,30808,30806,30807,10
2022-07-07 00:08:10,30805,30805,30801,30802,14
2022-07-07 00:08:15,30803,30804,30800,30801,14
2022-07-07 00:08:20,30804,30804,30801,30801,4
2022-07-07 00:08:25,30803,30804,30803,30804,2
2022-07-07 00:08:30,30804,30804,30802,30802,4
2022-07-07 00:08:35,30804,30814,30804,30813,8
2022-07-07 00:08:40,30811,30813,30811,30812,5
2022-07-07 00:08:45,30810,30813,30810,30813,7
2022-07-07 00:08:50,30813,30813,30808,30809,8
2022-07-07 00:08:55,30810,30810,30797,30807,119
2022-07-07 00:09:00,30806,30806,30799,30800,25
2022-07-07 00:09:05,30800,30801,30798,30798,13
2022-07-07 00:09:10,30798,30798,30782,30783,84
2022-07-07 00:09:15,30782,30783,30769,30773,181
2022-07-07 00:09:20,30772,30780,30766,30777,164
2022-07-07 00:09:25,30777,30778,30770,30771,34
2022-07-07 00:09:30,30774,30779,30774,30779,13
2022-07-07 00:09:35,30774,30776,30774,30776,10
