Date Time,Open,High,Low,Close,Volume
2022-07-06 00:00:00,30488,30522,30467,30482,1020
2022-07-06 00:05:00,30490,30534,30473,30527,797
2022-07-06 00:10:00,30527,30560,30490,30510,1656
2022-07-06 00:15:00,30513,30532,30470,30525,1195
2022-07-06 00:20:00,30523,30602,30493,30602,1764
2022-07-06 00:25:00,30600,30620,30571,30575,1511
2022-07-06 00:30:00,30576,30595,30555,30563,1024
2022-07-06 00:35:00,30566,30598,30558,30577,778
2022-07-06 00:40:00,30579,30588,30517,30531,890
2022-07-06 00:45:00,30531,30532,30484,30494,904
2022-07-06 00:50:00,30495,30506,30471,30497,807
2022-07-06 00:55:00,30494,30507,30475,30486,678
2022-07-06 01:00:00,30487,30545,30479,30543,977
2022-07-06 01:05:00,30541,30547,30477,30525,1200
2022-07-06 01:10:00,30527,30582,30521,30553,1168
2022-07-06 01:15:00,30553,30602,30532,30596,1377
2022-07-06 01:20:00,30597,30616,30579,30584,892
2022-07-06 01:25:00,30587,30601,30569,30572,750
2022-07-06 01:30:00,30575,30592,30550,30589,834
2022-07-06 01:35:00,30590,30624,30588,30613,1040
2022-07-06 01:40:00,30614,30639,30603,30605,997
2022-07-06 01:45:00,30607,30610,30543,30588,1120
2022-07-06 01:50:00,30588,30601,30579,30596,552
2022-07-06 01:55:00,30598,30602,30577,30596,550
2022-07-06 02:00:00,30598,30651,30581,30644,1165
2022-07-06 02:05:00,30646,30646,30610,30628,727
2022-07-06 02:10:00,30629,30661,30629,30647,721
2022-07-06 02:15:00,30649,30666,30604,30663,932
2022-07-06 02:20:00,30662,30678,30636,30678,909
2022-07-06 02:25:00,30678,30730,30665,30717,1328
2022-07-06 02:30:00,30721,30773,30718,30763,1842
2022-07-06 02:35:00,30765,30819,30748,30814,2215
2022-07-06 02:40:00,30815,30827,30787,30794,1399
2022-07-06 02:45:00,30795,30813,30764,30778,1362
2022-07-06 02:50:00,30782,30795,30764,30786,930
2022-07-06 02:55:00,30783,30807,30769,30780,1099
2022-07-06 03:00:00,30781,30791,30736,30768,1749
2022-07-06 03:05:00,30770,30852,30770,30850,2408
2022-07-06 03:10:00,30849,30867,30828,30862,1018
2022-07-06 03:15:00,30862,30871,30784,30795,1260
2022-07-06 03:20:00,30798,30891,30798,30884,1324
2022-07-06 03:25:00,30884,30922,30867,30903,1618
2022-07-06 03:30:00,30904,30925,30869,30919,1457
2022-07-06 03:35:00,30917,30923,30862,30894,1336
2022-07-06 03:40:00,30895,30910,30879,30898,822
2022-07-06 03:45:00,30898,30943,30884,30939,1085
2022-07-06 03:50:00,30938,30939,30867,30916,2189
2022-07-06 03:55:00,30919,30950,30884,30949,2839
2022-07-06 04:00:00,30947,30953,30911,30922,1549
2022-07-06 04:05:00,30925,30927,30893,30918,750
2022-07-06 04:10:00,30917,30925,30906,30913,367
2022-07-06 04:15:00,30913,30925,30906,30921,224
2022-07-06 04:20:00,30925,30933,30919,30930,153
2022-07-06 04:25:00,30930,30934,30924,30932,246
2022-07-06 04:35:00,30935,30944,30930,30939,196
2022-07-06 04:40:00,30929,30933,30917,30924,247
2022-07-06 04:45:00,30925,30936,30922,30934,112
2022-07-06 04:50:00,30932,30936,30927,30927,88
2022-07-06 04:55:00,30926,30932,30922,30925,130
2022-07-06 06:00:00,30958,30969,30936,30952,300
2022-07-06 06:05:00,30953,30962,30939,30941,139
2022-07-06 06:10:00,30943,30969,30937,30965,141
2022-07-06 06:15:00,30963,30990,30963,30976,223
2022-07-06 06:20:00,30978,30978,30952,30955,144
2022-07-06 06:25:00,30954,30960,30938,30943,105
2022-07-06 06:30:00,30941,30960,30940,30948,125
2022-07-06 06:35:00,30948,30955,30944,30950,107
2022-07-06 06:40:00,30949,30949,30924,30933,146
2022-07-06 06:45:00,30935,30940,30928,30940,46
2022-07-06 06:50:00,30940,30944,30927,30927,53
2022-07-06 06:55:00,30929,30942,30926,30940,76
2022-07-06 07:00:00,30940,30950,30935,30948,90
2022-07-06 07:05:00,30949,30954,30943,30944,52
2022-07-06 07:10:00,30944,30944,30934,30935,61
2022-07-06 07:15:00,30937,30937,30930,30930,33
2022-07-06 07:20:00,30932,30937,30927,30931,66
2022-07-06 07:25:00,30930,30931,30911,30912,144
2022-07-06 07:30:00,30912,30912,30884,30886,324
2022-07-06 07:35:00,30886,30894,30881,30894,111
2022-07-06 07:40:00,30891,30903,30881,30886,145
2022-07-06 07:45:00,30887,30892,30876,30883,145
2022-07-06 07:50:00,30885,30885,30858,30859,191
2022-07-06 07:55:00,30859,30869,30852,30868,190
2022-07-06 08:00:00,30872,30916,30872,30895,401
2022-07-06 08:05:00,30898,30918,30895,30912,167
2022-07-06 08:10:00,30914,30925,30899,30917,126
2022-07-06 08:15:00,30919,30943,30918,30936,163
2022-07-06 08:20:00,30934,30934,30904,30910,113
2022-07-06 08:25:00,30902,30924,30901,30912,57
2022-07-06 08:30:00,30913,30929,30910,30923,135
2022-07-06 08:35:00,30923,30934,30907,30913,119
2022-07-06 08:40:00,30912,30981,30907,30980,387
2022-07-06 08:45:00,30980,31003,30973,30994,604
2022-07-06 08:50:00,30993,31004,30984,30987,250
2022-07-06 08:55:00,30988,31001,30982,30986,144
2022-07-06 09:00:00,30989,30990,30979,30990,124
2022-07-06 09:05:00,30994,31031,30994,31026,375
2022-07-06 09:10:00,31026,31033,31007,31013,156
2022-07-06 09:15:00,31015,31015,30984,30991,257
2022-07-06 09:20:00,30989,31006,30973,30978,162
2022-07-06 09:25:00,30979,30981,30943,30952,208
2022-07-06 09:30:00,30953,30962,30936,30943,224
2022-07-06 09:35:00,30944,30951,30901,30902,362
2022-07-06 09:40:00,30900,30906,30860,30874,436
2022-07-06 09:45:00,30872,30894,30865,30888,219
2022-07-06 09:50:00,30889,30908,30885,30903,89
2022-07-06 09:55:00,30902,30911,30889,30892,159
2022-07-06 10:00:00,30896,30925,30896,30914,155
2022-07-06 10:05:00,30911,30915,30895,30912,100
2022-07-06 10:10:00,30911,30914,30897,30899,49
2022-07-06 10:15:00,30900,30906,30878,30880,88
