Date Time,Open,High,Low,Close,Volume
2022-07-12 00:00:00,31178,31182,31177,31182,24
2022-07-12 00:00:05,31183,31185,31183,31183,12
2022-07-12 00:00:10,31184,31189,31183,31184,34
2022-07-12 00:00:15,31184,31185,31184,31185,4
2022-07-12 00:00:20,31186,31189,31185,31187,6
2022-07-12 00:00:25,31189,31191,31188,31188,18
2022-07-12 00:00:30,31188,31190,31188,31188,12
2022-07-12 00:00:35,31184,31186,31183,31186,13
2022-07-12 00:00:40,31185,31187,31183,31187,17
2022-07-12 00:00:45,31182,31182,31178,31178,12
2022-07-12 00:00:50,31179,31179,31174,31174,26
2022-07-12 00:00:55,31174,31174,31174,31174,3
2022-07-12 00:01:00,31175,31176,31174,31176,10
2022-07-12 00:01:05,31176,31178,31176,31178,16
2022-07-12 00:01:10,31174,31175,31170,31170,62
2022-07-12 00:01:15,31169,31172,31169,31172,15
2022-07-12 00:01:25,31171,31171,31169,31171,9
2022-07-12 00:01:30,31170,31170,31162,31166,21
2022-07-12 00:01:35,31167,31167,31165,31165,4
2022-07-12 00:01:40,31164,31168,31164,31166,18
2022-07-12 00:01:45,31169,31174,31169,31174,11
2022-07-12 00:01:50,31173,31173,31171,31171,12
2022-07-12 00:01:55,31170,31170,31170,31170,4
2022-07-12 00:02:00,31169,31169,31169,31169,2
2022-07-12 00:02:05,31170,31173,31170,31173,5
2022-07-12 00:02:10,31172,31174,31172,31172,7
2022-07-12 00:02:15,31170,31172,31170,31170,3
2022-07-12 00:02:20,31171,31172,31170,31171,8
2022-07-12 00:02:25,31172,31173,31172,31173,2
2022-07-12 00:02:30,31170,31173,31170,31173,7
2022-07-12 00:02:35,31174,31175,31173,31174,8
2022-07-12 00:02:40,31176,31177,31175,31177,4
2022-07-12 00:02:45,31177,31178,31177,31178,6
2022-07-12 00:02:50,31179,31179,31176,31176,5
2022-07-12 00:02:55,31175,31176,31173,31173,11
2022-07-12 00:03:00,31172,31175,31172,31174,8
2022-07-12 00:03:05,31174,31174,31167,31167,13
2022-07-12 00:03:10,31165,31166,31163,31164,8
2022-07-12 00:03:15,31162,31163,31162,31163,10
2022-07-12 00:03:20,31164,31166,31164,31166,8
2022-07-12 00:03:25,31166,31168,31166,31167,7
2022-07-12 00:03:30,31168,31168,31167,31168,5
2022-07-12 00:03:35,31168,31170,31167,31167,12
2022-07-12 00:03:40,31167,31167,31165,31166,5
2022-07-12 00:03:45,31167,31167,31167,31167,1
2022-07-12 00:03:50,31167,31171,31167,31171,13
2022-07-12 00:03:55,31170,31170,31170,31170,3
2022-07-12 00:04:00,31171,31172,31171,31172,2
2022-07-12 00:04:05,31171,31171,31170,31170,9
2022-07-12 00:04:10,31169,31169,31165,31166,8
2022-07-12 00:04:15,31166,31167,31166,31167,3
2022-07-12 00:04:20,31167,31169,31167,31167,12
2022-07-12 00:04:25,31166,31166,31165,31166,3
2022-07-12 00:04:30,31164,31165,31164,31164,3
2022-07-12 00:04:35,31165,31165,31165,31165,2
2022-07-12 00:04:40,31165,31166,31164,31164,17
2022-07-12 00:04:45,31166,31166,31165,31165,4
2022-07-12 00:04:50,31166,31173,31166,31173,19
2022-07-12 00:04:55,31174,31177,31174,31177,12
2022-07-12 00:05:00,31177,31180,31176,31176,53
2022-07-12 00:05:05,31176,31178,31175,31177,13
2022-07-12 00:05:10,31181,31181,31178,31178,5
2022-07-12 00:05:15,31177,31177,31174,31175,9
2022-07-12 00:05:20,31175,31175,31170,31174,18
2022-07-12 00:05:25,31172,31174,31172,31172,11
2022-07-12 00:05:30,31172,31172,31171,31171,5
2022-07-12 00:05:35,31173,31177,31173,31173,23
2022-07-12 00:05:40,31175,31176,31175,31176,6
2022-07-12 00:05:45,31176,31176,31171,31171,12
2022-07-12 00:05:50,31175,31175,31174,31174,4
2022-07-12 00:05:55,31176,31178,31176,31178,3
2022-07-12 00:06:00,31181,31181,31177,31179,9
2022-07-12 00:06:05,31180,31180,31178,31179,12
2022-07-12 00:06:10,31180,31180,31178,31180,26
2022-07-12 00:06:15,31180,31184,31180,31184,6
2022-07-12 00:06:20,31182,31183,31181,31181,9
2022-07-12 00:06:25,31184,31184,31183,31183,2
2022-07-12 00:06:30,31183,31185,31181,31181,35
2022-07-12 00:06:35,31182,31185,31182,31185,8
2022-07-12 00:06:40,31184,31186,31184,31186,8
2022-07-12 00:06:45,31186,31190,31185,31185,29
2022-07-12 00:06:50,31188,31188,31187,31188,8
2022-07-12 00:06:55,31189,31194,31189,31192,15
2022-07-12 00:07:00,31192,31196,31192,31193,23
2022-07-12 00:07:05,31193,31193,31191,31191,14
2022-07-12 00:07:10,31190,31190,31188,31188,17
2022-07-12 00:07:15,31188,31188,31186,31187,12
2022-07-12 00:07:20,31184,31185,31183,31183,10
2022-07-12 00:07:25,31183,31185,31183,31185,7
2022-07-12 00:07:30,31186,31187,31185,31186,11
2022-07-12 00:07:35,31184,31184,31179,31179,18
2022-07-12 00:07:40,31180,31180,31172,31172,24
