Date Time,Open,High,Low,Close,Volume
2022-07-14 00:00:00,30745,30753,30743,30750,21
2022-07-14 00:00:05,30750,30759,30750,30759,26
2022-07-14 00:00:10,30757,30759,30757,30758,6
2022-07-14 00:00:15,30761,30764,30753,30756,158
2022-07-14 00:00:20,30753,30758,30752,30758,13
2022-07-14 00:00:25,30760,30762,30760,30761,8
2022-07-14 00:00:30,30762,30762,30756,30759,18
2022-07-14 00:00:35,30759,30761,30757,30761,6
2022-07-14 00:00:40,30760,30765,30760,30762,11
2022-07-14 00:00:45,30766,30768,30764,30768,17
2022-07-14 00:00:50,30767,30767,30765,30766,7
2022-07-14 00:00:55,30766,30767,30760,30760,12
2022-07-14 00:01:00,30760,30761,30754,30754,20
2022-07-14 00:01:05,30753,30753,30747,30747,25
2022-07-14 00:01:10,30746,30748,30746,30748,13
2022-07-14 00:01:15,30746,30748,30743,30743,25
2022-07-14 00:01:20,30742,30744,30741,30742,13
2022-07-14 00:01:25,30743,30749,30743,30749,14
2022-07-14 00:01:30,30743,30746,30743,30746,5
2022-07-14 00:01:35,30745,30745,30742,30743,10
2022-07-14 00:01:40,30743,30750,30743,30749,11
2022-07-14 00:01:45,30751,30752,30751,30751,16
2022-07-14 00:01:50,30747,30747,30743,30745,11
2022-07-14 00:01:55,30743,30744,30741,30744,5
2022-07-14 00:02:00,30742,30745,30742,30745,7
2022-07-14 00:02:05,30740,30741,30730,30733,56
2022-07-14 00:02:10,30732,30734,30730,30733,23
2022-07-14 00:02:15,30732,30734,30731,30732,20
2022-07-14 00:02:20,30734,30739,30731,30739,19
2022-07-14 00:02:25,30737,30749,30737,30746,21
2022-07-14 00:02:30,30746,30753,30746,30752,16
2022-07-14 00:02:35,30754,30756,30753,30755,9
2022-07-14 00:02:40,30755,30763,30753,30761,22
2022-07-14 00:02:45,30757,30757,30749,30755,12
2022-07-14 00:02:50,30755,30756,30754,30756,10
2022-07-14 00:02:55,30755,30764,30755,30763,13
2022-07-14 00:03:00,30765,30765,30761,30764,15
2022-07-14 00:03:05,30764,30767,30763,30766,20
2022-07-14 00:03:10,30766,30770,30765,30768,23
2022-07-14 00:03:15,30770,30772,30768,30771,15
2022-07-14 00:03:20,30771,30771,30767,30769,15
2022-07-14 00:03:25,30769,30779,30769,30778,54
2022-07-14 00:03:30,30776,30781,30773,30778,28
2022-07-14 00:03:35,30781,30784,30780,30784,25
2022-07-14 00:03:40,30783,30784,30782,30782,13
2022-07-14 00:03:45,30784,30784,30780,30780,20
2022-07-14 00:03:50,30780,30780,30766,30768,31
2022-07-14 00:03:55,30769,30769,30766,30769,10
2022-07-14 00:04:00,30770,30770,30766,30766,11
2022-07-14 00:04:05,30766,30768,30766,30766,4
2022-07-14 00:04:10,30768,30783,30768,30783,66
2022-07-14 00:04:15,30784,30785,30782,30782,6
2022-07-14 00:04:20,30786,30790,30786,30790,10
2022-07-14 00:04:25,30789,30792,30784,30784,30
2022-07-14 00:04:30,30784,30784,30780,30780,8
2022-07-14 00:04:35,30783,30786,30780,30780,22
2022-07-14 00:04:40,30781,30786,30781,30786,7
2022-07-14 00:04:45,30787,30788,30786,30788,13
2022-07-14 00:04:50,30788,30790,30786,30789,13
2022-07-14 00:04:55,30788,30791,30787,30790,18
2022-07-14 00:05:00,30791,30792,30784,30784,54
2022-07-14 00:05:05,30787,30789,30785,30788,20
2022-07-14 00:05:10,30791,30791,30787,30790,16
2022-07-14 00:05:15,30791,30792,30790,30790,8
2022-07-14 00:05:20,30790,30790,30783,30783,26
2022-07-14 00:05:25,30788,30790,30788,30790,4
2022-07-14 00:05:30,30791,30791,30785,30785,11
2022-07-14 00:05:35,30786,30788,30786,30787,9
2022-07-14 00:05:40,30786,30788,30786,30788,7
2022-07-14 00:05:45,30787,30789,30787,30787,8
2022-07-14 00:05:50,30786,30786,30779,30784,17
